Q1_answer,Q2_answer,Q3_answer,Q4_answer,Q5_answer,age,gender,occupation
2,1,7,difference-denying,no,60,male,taxi driver
2,1,9,difference-denying,yes,50,female,nurse
1,1,7,difference-denying,no,24,male,analyst
1,1,8,difference-honoring,no,23,male,student
1,2,7,difference-denying,no,20,male,student
2,1,8,difference-denying,no,20,male,student
3,1,9,difference-honoring,no,19,male,student
3,2,10,difference-denying,no,22,female,student
1,1,8,difference-denying,no,21,male,student
1,3,8,difference-denying,no,22,male,student